DATE,PW,CAPA,TEMP_MAX,TEMP_MIN,RADIATION
202101010015,0.0,4788.0,41.0,4.0,20.0
202101010030,0.0,4788.0,41.0,4.0,20.0
202101010045,0.0,4788.0,41.0,4.0,20.0
202101010100,0.0,4788.0,41.0,4.0,20.0
202101010115,0.0,4788.0,41.0,4.0,20.0
202101010130,0.0,4788.0,41.0,4.0,20.0
202101010145,0.0,4788.0,41.0,4.0,20.0
202101010200,0.0,4788.0,41.0,4.0,20.0
202101010215,0.0,4788.0,41.0,4.0,20.0
202101010230,0.0,4788.0,41.0,4.0,20.0
202101010245,0.0,4788.0,41.0,4.0,20.0
202101010300,0.0,4788.0,41.0,4.0,20.0
202101010315,0.0,4788.0,41.0,4.0,20.0
202101010330,0.0,4788.0,41.0,4.0,20.0
202101010345,0.0,4788.0,41.0,4.0,20.0
202101010400,0.0,4788.0,41.0,4.0,20.0
202101010415,0.0,4788.0,41.0,4.0,20.0
202101010430,0.0,4788.0,41.0,4.0,20.0
202101010445,0.0,4788.0,41.0,4.0,20.0
202101010500,0.0,4788.0,41.0,4.0,20.0
202101010515,0.0,4788.0,41.0,4.0,20.0
202101010530,0.0,4788.0,41.0,4.0,20.0
202101010545,0.0,4788.0,41.0,4.0,20.0
202101010600,0.0,4788.0,41.0,4.0,20.0
202101010615,0.0,4788.0,41.0,4.0,20.0
202101010630,0.0,4788.0,41.0,4.0,20.0
202101010645,0.0,4788.0,41.0,4.0,20.0
202101010700,0.0,4788.0,41.0,4.0,20.0
202101010715,0.0,4788.0,41.0,4.0,20.0
202101010730,0.0,4788.0,41.0,4.0,20.0
202101010745,0.0,4788.0,41.0,4.0,20.0
202101010800,0.0,4788.0,41.0,4.0,20.0
202101010815,0.0,4788.0,41.0,4.0,20.0
202101010830,0.0,4788.0,41.0,4.0,20.0
202101010845,9.0,4788.0,41.0,4.0,20.0
202101010900,40.0,4788.0,41.0,4.0,20.0
202101010915,82.0,4788.0,41.0,4.0,20.0
202101010930,127.0,4788.0,41.0,4.0,20.0
202101010945,172.0,4788.0,41.0,4.0,20.0
202101011000,218.0,4788.0,41.0,4.0,20.0
202101011015,272.0,4788.0,41.0,4.0,20.0
202101011030,334.0,4788.0,41.0,4.0,20.0
202101011045,401.0,4788.0,41.0,4.0,20.0
202101011100,477.0,4788.0,41.0,4.0,20.0
202101011115,572.0,4788.0,41.0,4.0,20.0
202101011130,691.0,4788.0,41.0,4.0,20.0
202101011145,801.0,4788.0,41.0,4.0,20.0
202101011200,863.0,4788.0,41.0,4.0,20.0
202101011215,900.0,4788.0,41.0,4.0,20.0
202101011230,953.0,4788.0,41.0,4.0,20.0
202101011245,967.0,4788.0,41.0,4.0,20.0
202101011300,955.0,4788.0,41.0,4.0,20.0
202101011315,924.0,4788.0,41.0,4.0,20.0
202101011330,873.0,4788.0,41.0,4.0,20.0
202101011345,782.0,4788.0,41.0,4.0,20.0
202101011400,683.0,4788.0,41.0,4.0,20.0
202101011415,600.0,4788.0,41.0,4.0,20.0
202101011430,515.0,4788.0,41.0,4.0,20.0
202101011445,438.0,4788.0,41.0,4.0,20.0
202101011500,349.0,4788.0,41.0,4.0,20.0
202101011515,282.0,4788.0,41.0,4.0,20.0
202101011530,213.0,4788.0,41.0,4.0,20.0
202101011545,149.0,4788.0,41.0,4.0,20.0
202101011600,96.0,4788.0,41.0,4.0,20.0
202101011615,51.0,4788.0,41.0,4.0,20.0
202101011630,18.0,4788.0,41.0,4.0,20.0
202101011645,2.0,4788.0,41.0,4.0,20.0
202101011700,0.0,4788.0,41.0,4.0,20.0
202101011715,0.0,4788.0,41.0,4.0,20.0
202101011730,0.0,4788.0,41.0,4.0,20.0
202101011745,0.0,4788.0,41.0,4.0,20.0
202101011800,0.0,4788.0,41.0,4.0,20.0
202101011815,0.0,4788.0,41.0,4.0,20.0
202101011830,0.0,4788.0,41.0,4.0,20.0
202101011845,0.0,4788.0,41.0,4.0,20.0
202101011900,0.0,4788.0,41.0,4.0,20.0
202101011915,0.0,4788.0,41.0,4.0,20.0
202101011930,0.0,4788.0,41.0,4.0,20.0
202101011945,0.0,4788.0,41.0,4.0,20.0
202101012000,0.0,4788.0,41.0,4.0,20.0
202101012015,0.0,4788.0,41.0,4.0,20.0
202101012030,0.0,4788.0,41.0,4.0,20.0
202101012045,0.0,4788.0,41.0,4.0,20.0
202101012100,0.0,4788.0,41.0,4.0,20.0
202101012115,0.0,4788.0,41.0,4.0,20.0
202101012130,0.0,4788.0,41.0,4.0,20.0
202101012145,0.0,4788.0,41.0,4.0,20.0
202101012200,0.0,4788.0,41.0,4.0,20.0
202101012215,0.0,4788.0,41.0,4.0,20.0
202101012230,0.0,4788.0,41.0,4.0,20.0
202101012245,0.0,4788.0,41.0,4.0,20.0
202101012300,0.0,4788.0,41.0,4.0,20.0
202101012315,0.0,4788.0,41.0,4.0,20.0
202101012330,0.0,4788.0,41.0,4.0,20.0
202101012345,0.0,4788.0,41.0,4.0,20.0
202101020000,0.0,4788.0,35.0,-1.0,32.0
202101020015,0.0,4788.0,35.0,-1.0,32.0
202101020030,0.0,4788.0,35.0,-1.0,32.0
202101020045,0.0,4788.0,35.0,-1.0,32.0
202101020100,0.0,4788.0,35.0,-1.0,32.0
202101020115,0.0,4788.0,35.0,-1.0,32.0
