DATE,PW,CAPA,TEMP_MAX,TEMP_MIN,RADIATION
201904010015,0.0,3369.0,172.0,29.0,28.0
201904010030,0.0,3369.0,172.0,29.0,28.0
201904010045,0.0,3369.0,172.0,29.0,28.0
201904010100,0.0,3369.0,172.0,29.0,28.0
201904010115,0.0,3369.0,172.0,29.0,28.0
201904010130,0.0,3369.0,172.0,29.0,28.0
201904010145,0.0,3369.0,172.0,29.0,28.0
201904010200,0.0,3369.0,172.0,29.0,28.0
201904010215,0.0,3369.0,172.0,29.0,28.0
201904010230,0.0,3369.0,172.0,29.0,28.0
201904010245,0.0,3369.0,172.0,29.0,28.0
201904010300,0.0,3369.0,172.0,29.0,28.0
201904010315,0.0,3369.0,172.0,29.0,28.0
201904010330,0.0,3369.0,172.0,29.0,28.0
201904010345,0.0,3369.0,172.0,29.0,28.0
201904010400,0.0,3369.0,172.0,29.0,28.0
201904010415,0.0,3369.0,172.0,29.0,28.0
201904010430,0.0,3369.0,172.0,29.0,28.0
201904010445,0.0,3369.0,172.0,29.0,28.0
201904010500,0.0,3369.0,172.0,29.0,28.0
201904010515,0.0,3369.0,172.0,29.0,28.0
201904010530,0.0,3369.0,172.0,29.0,28.0
201904010545,0.0,3369.0,172.0,29.0,28.0
201904010600,0.0,3369.0,172.0,29.0,28.0
201904010615,0.0,3369.0,172.0,29.0,28.0
201904010630,0.0,3369.0,172.0,29.0,28.0
201904010645,0.0,3369.0,172.0,29.0,28.0
201904010700,0.0,3369.0,172.0,29.0,28.0
201904010715,0.0,3369.0,172.0,29.0,28.0
201904010730,34.0,3369.0,172.0,29.0,28.0
201904010745,89.0,3369.0,172.0,29.0,28.0
201904010800,165.0,3369.0,172.0,29.0,28.0
201904010815,262.0,3369.0,172.0,29.0,28.0
201904010830,384.0,3369.0,172.0,29.0,28.0
201904010845,516.0,3369.0,172.0,29.0,28.0
201904010900,674.0,3369.0,172.0,29.0,28.0
201904010915,838.0,3369.0,172.0,29.0,28.0
201904010930,1006.0,3369.0,172.0,29.0,28.0
201904010945,1172.0,3369.0,172.0,29.0,28.0
201904011000,1326.0,3369.0,172.0,29.0,28.0
201904011015,1475.0,3369.0,172.0,29.0,28.0
201904011030,1601.0,3369.0,172.0,29.0,28.0
201904011045,1725.0,3369.0,172.0,29.0,28.0
201904011100,1846.0,3369.0,172.0,29.0,28.0
201904011115,1949.0,3369.0,172.0,29.0,28.0
201904011130,2054.0,3369.0,172.0,29.0,28.0
201904011145,2125.0,3369.0,172.0,29.0,28.0
201904011200,2190.0,3369.0,172.0,29.0,28.0
201904011215,2204.0,3369.0,172.0,29.0,28.0
201904011230,2271.0,3369.0,172.0,29.0,28.0
201904011245,2332.0,3369.0,172.0,29.0,28.0
201904011300,2368.0,3369.0,172.0,29.0,28.0
201904011315,2395.0,3369.0,172.0,29.0,28.0
201904011330,2402.0,3369.0,172.0,29.0,28.0
201904011345,2377.0,3369.0,172.0,29.0,28.0
201904011400,2353.0,3369.0,172.0,29.0,28.0
201904011415,2346.0,3369.0,172.0,29.0,28.0
201904011430,2288.0,3369.0,172.0,29.0,28.0
201904011445,2249.0,3369.0,172.0,29.0,28.0
201904011500,2201.0,3369.0,172.0,29.0,28.0
201904011515,2109.0,3369.0,172.0,29.0,28.0
201904011530,2024.0,3369.0,172.0,29.0,28.0
201904011545,1940.0,3369.0,172.0,29.0,28.0
201904011600,1849.0,3369.0,172.0,29.0,28.0
201904011615,1744.0,3369.0,172.0,29.0,28.0
201904011630,1626.0,3369.0,172.0,29.0,28.0
201904011645,1512.0,3369.0,172.0,29.0,28.0
201904011700,1372.0,3369.0,172.0,29.0,28.0
201904011715,1226.0,3369.0,172.0,29.0,28.0
201904011730,1079.0,3369.0,172.0,29.0,28.0
201904011745,927.0,3369.0,172.0,29.0,28.0
201904011800,773.0,3369.0,172.0,29.0,28.0
201904011815,622.0,3369.0,172.0,29.0,28.0
201904011830,483.0,3369.0,172.0,29.0,28.0
201904011845,346.0,3369.0,172.0,29.0,28.0
201904011900,239.0,3369.0,172.0,29.0,28.0
201904011915,149.0,3369.0,172.0,29.0,28.0
201904011930,82.0,3369.0,172.0,29.0,28.0
201904011945,34.0,3369.0,172.0,29.0,28.0
