DATE,PW,CAPA,TEMP_MAX,TEMP_MIN,RADIATION
202010020000,1045.0,4310.0,149.0,89.0,52.0
202010020015,1017.0,4310.0,149.0,89.0,52.0
202010020030,1058.0,4310.0,149.0,89.0,52.0
202010020045,1126.0,4310.0,149.0,89.0,52.0
202010020100,1163.0,4310.0,149.0,89.0,52.0
202010020115,1165.0,4310.0,149.0,89.0,52.0
202010020130,1143.0,4310.0,149.0,89.0,52.0
202010020145,1064.0,4310.0,149.0,89.0,52.0
202010020200,1031.0,4310.0,149.0,89.0,52.0
202010020215,1073.0,4310.0,149.0,89.0,52.0
202010020230,1112.0,4310.0,149.0,89.0,52.0
202010020245,1083.0,4310.0,149.0,89.0,52.0
202010020300,1061.0,4310.0,149.0,89.0,52.0
202010020315,1177.0,4310.0,149.0,89.0,52.0
202010020330,1275.0,4310.0,149.0,89.0,52.0
202010020345,1334.0,4310.0,149.0,89.0,52.0
202010020400,1373.0,4310.0,149.0,89.0,52.0
202010020415,1438.0,4310.0,149.0,89.0,52.0
202010020430,1611.0,4310.0,149.0,89.0,52.0
202010020445,1755.0,4310.0,149.0,89.0,52.0
202010020500,1858.0,4310.0,149.0,89.0,52.0
202010020515,1989.0,4310.0,149.0,89.0,52.0
202010020530,2074.0,4310.0,149.0,89.0,52.0
202010020545,2135.0,4310.0,149.0,89.0,52.0
202010020600,2185.0,4310.0,149.0,89.0,52.0
202010020615,2234.0,4310.0,149.0,89.0,52.0
202010020630,2276.0,4310.0,149.0,89.0,52.0
202010020645,2217.0,4310.0,149.0,89.0,52.0
202010020700,2191.0,4310.0,149.0,89.0,52.0
202010020715,2238.0,4310.0,149.0,89.0,52.0
202010020730,2336.0,4310.0,149.0,89.0,52.0
202010020745,2404.0,4310.0,149.0,89.0,52.0
202010020800,2402.0,4310.0,149.0,89.0,52.0
202010020815,2376.0,4310.0,149.0,89.0,52.0
202010020830,2361.0,4310.0,149.0,89.0,52.0
202010020845,2414.0,4310.0,149.0,89.0,52.0
202010020900,2471.0,4310.0,149.0,89.0,52.0
202010020915,2504.0,4310.0,149.0,89.0,52.0
202010020930,2567.0,4310.0,149.0,89.0,52.0
202010020945,2613.0,4310.0,149.0,89.0,52.0
202010021000,2630.0,4310.0,149.0,89.0,52.0
202010021015,2671.0,4310.0,149.0,89.0,52.0
202010021030,2682.0,4310.0,149.0,89.0,52.0
202010021045,2690.0,4310.0,149.0,89.0,52.0
202010021100,2637.0,4310.0,149.0,89.0,52.0
202010021115,2621.0,4310.0,149.0,89.0,52.0
202010021130,2575.0,4310.0,149.0,89.0,52.0
202010021145,2522.0,4310.0,149.0,89.0,52.0
202010021200,2529.0,4310.0,149.0,89.0,52.0
202010021215,2482.0,4310.0,149.0,89.0,52.0
202010021230,2458.0,4310.0,149.0,89.0,52.0
202010021245,2455.0,4310.0,149.0,89.0,52.0
202010021300,2418.0,4310.0,149.0,89.0,52.0
202010021315,2328.0,4310.0,149.0,89.0,52.0
202010021330,2242.0,4310.0,149.0,89.0,52.0
202010021345,2205.0,4310.0,149.0,89.0,52.0
202010021400,2184.0,4310.0,149.0,89.0,52.0
202010021415,2124.0,4310.0,149.0,89.0,52.0
202010021430,1990.0,4310.0,149.0,89.0,52.0
202010021445,1823.0,4310.0,149.0,89.0,52.0
202010021500,1758.0,4310.0,149.0,89.0,52.0
202010021515,1771.0,4310.0,149.0,89.0,52.0
202010021530,1748.0,4310.0,149.0,89.0,52.0
202010021545,1723.0,4310.0,149.0,89.0,52.0
202010021600,1658.0,4310.0,149.0,89.0,52.0
202010021615,1692.0,4310.0,149.0,89.0,52.0
202010021630,1649.0,4310.0,149.0,89.0,52.0
202010021645,1607.0,4310.0,149.0,89.0,52.0
202010021700,1519.0,4310.0,149.0,89.0,52.0
202010021715,1470.0,4310.0,149.0,89.0,52.0
202010021730,1424.0,4310.0,149.0,89.0,52.0
202010021745,1355.0,4310.0,149.0,89.0,52.0
202010021800,1457.0,4310.0,149.0,89.0,52.0
202010021815,1735.0,4310.0,149.0,89.0,52.0
202010021830,1786.0,4310.0,149.0,89.0,52.0
202010021845,1801.0,4310.0,149.0,89.0,52.0
202010021900,1861.0,4310.0,149.0,89.0,52.0
202010021915,1960.0,4310.0,149.0,89.0,52.0
202010021930,2020.0,4310.0,149.0,89.0,52.0
202010021945,2136.0,4310.0,149.0,89.0,52.0
202010022000,2193.0,4310.0,149.0,89.0,52.0
202010022015,2174.0,4310.0,149.0,89.0,52.0
202010022030,2212.0,4310.0,149.0,89.0,52.0
