DATE,PW,CAPA,TEMP_MAX,TEMP_MIN,RADIATION
202004010015,632.0,3856.0,107.0,-11.0,205.0
202004010030,608.0,3856.0,107.0,-11.0,205.0
202004010045,605.0,3856.0,107.0,-11.0,205.0
202004010100,609.0,3856.0,107.0,-11.0,205.0
202004010115,611.0,3856.0,107.0,-11.0,205.0
202004010130,574.0,3856.0,107.0,-11.0,205.0
202004010145,503.0,3856.0,107.0,-11.0,205.0
202004010200,428.0,3856.0,107.0,-11.0,205.0
202004010215,366.0,3856.0,107.0,-11.0,205.0
202004010230,329.0,3856.0,107.0,-11.0,205.0
202004010245,305.0,3856.0,107.0,-11.0,205.0
202004010300,297.0,3856.0,107.0,-11.0,205.0
202004010315,271.0,3856.0,107.0,-11.0,205.0
202004010330,260.0,3856.0,107.0,-11.0,205.0
202004010345,242.0,3856.0,107.0,-11.0,205.0
202004010400,213.0,3856.0,107.0,-11.0,205.0
202004010415,190.0,3856.0,107.0,-11.0,205.0
202004010430,174.0,3856.0,107.0,-11.0,205.0
202004010445,145.0,3856.0,107.0,-11.0,205.0
202004010500,124.0,3856.0,107.0,-11.0,205.0
202004010515,110.0,3856.0,107.0,-11.0,205.0
202004010530,103.0,3856.0,107.0,-11.0,205.0
202004010545,93.0,3856.0,107.0,-11.0,205.0
202004010600,79.0,3856.0,107.0,-11.0,205.0
202004010615,68.0,3856.0,107.0,-11.0,205.0
202004010630,61.0,3856.0,107.0,-11.0,205.0
202004010645,60.0,3856.0,107.0,-11.0,205.0
202004010700,47.0,3856.0,107.0,-11.0,205.0
202004010715,34.0,3856.0,107.0,-11.0,205.0
202004010730,23.0,3856.0,107.0,-11.0,205.0
202004010745,19.0,3856.0,107.0,-11.0,205.0
202004010800,17.0,3856.0,107.0,-11.0,205.0
202004010815,14.0,3856.0,107.0,-11.0,205.0
202004010830,13.0,3856.0,107.0,-11.0,205.0
202004010845,11.0,3856.0,107.0,-11.0,205.0
202004010900,9.0,3856.0,107.0,-11.0,205.0
202004010915,8.0,3856.0,107.0,-11.0,205.0
202004010930,9.0,3856.0,107.0,-11.0,205.0
202004010945,9.0,3856.0,107.0,-11.0,205.0
202004011000,8.0,3856.0,107.0,-11.0,205.0
